 2025-09-29 13:36 	 W2MV 	 28.126037 	 -8 	 0 	 FN31 	 0.2 	 DK6UG 	 JN49cm 	 6083 	 52 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126109 	 +3 	 0 	 JO50cb 	 1 	 CT1HMN 	 IM58nn 	 1975 	 237 	 W-2 
 2025-09-29 13:36 	 AB5SS 	 28.126073 	 -18 	 3 	 GP51 	 20 	 GM0UDL 	 IO77vo 	 2511 	 80 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126105 	 -26 	 0 	 KN41 	 0.2 	 G6AVK 	 JO01ho 	 2421 	 307 	 W-2 
 2025-09-29 13:36 	 DO3GU/5 	 28.126033 	 -12 	 3 	 GN51xw 	 50 	 GM0UDL 	 IO77vo 	 3513 	 45 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126085 	 -27 	 -1 	 GG77je 	 1 	 G6AVK 	 JO01ho 	 9401 	 27 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126093 	 -17 	 0 	 GG77je 	 1 	 CT1HMN 	 IM58nn 	 7804 	 30 	 W-2 
 2025-09-29 13:36 	 YM2XBL 	 28.126116 	 -13 	 0 	 KN41 	 0.2 	 FSWL464 	 JN05ie 	 2309 	 290 	 W-2 
 2025-09-29 13:36 	 SM4TIW 	 28.126080 	 -18 	 0 	 JO79 	 0.2 	 CT1HMN 	 IM58nn 	 2870 	 227 	 W-2 
 2025-09-29 13:36 	 G6FDN 	 28.126003 	 -27 	 0 	 IO82 	 0.2 	 IT9JFW 	 JM68qd 	 2037 	 135 	 W-2 
 2025-09-29 13:36 	 DL6NL 	 28.126107 	 -17 	 0 	 JO50cb 	 1 	 KQ2Y 	 FN31gn 	 6208 	 296 	 W-2 
 2025-09-29 13:36 	 PY2LSB 	 28.126091 	 -23 	 0 	 GG77je 	 1 	 KQ2Y 	 FN31gn 	 7727 	 338 	 W-2 
